UserId;avg_romance;std_romance;count_romance;avg_drama;std_drama;count_drama;avg_comedy;std_comedy;count_comedy;avg_horror;std_horror;count_horror;avg_action;std_action;count_action;avg_scifi;std_scifi;count_scifi
48;4.1429;0.8330;7;4.5294;0.7371;34;4.3333;0.6236;12;3.8000;1.1662;5;3.9200;0.8908;25;3.8333;1.0672;6
49;;;0;4.2000;0.9798;5;;;0;;;0;4.0000;0.8165;6;4.0000;0.8165;3
50;3.8182;1.0285;44;3.9882;0.8331;85;3.7872;0.9211;47;4.0000;0.0000;2;3.7857;0.8601;14;4.1250;0.7806;8
52;;;0;;;0;;;0;;;0;4.0000;0.0000;1;4.0000;0.0000;1
53;;;0;4.0000;0.8165;3;3.0000;0.0000;1;4.0000;1.0000;2;;;0;;;0
54;3.6667;0.4714;3;4.1429;0.8330;14;4.1111;0.8089;18;;;0;3.6364;0.8814;11;4.5000;0.5000;2
55;3.2500;0.8292;64;3.5409;0.8522;159;3.4264;1.0475;129;3.1765;1.0424;17;3.4296;0.9815;142;3.3902;1.0331;41
56;3.0000;0.0000;1;3.0000;0.8165;3;3.3333;1.2472;3;;;0;4.0000;0.8165;3;4.0000;0.0000;2
57;;;0;;;0;4.5000;0.5000;2;2.0000;0.0000;1;2.5000;0.5000;2;;;0
59;4.0000;0.0000;1;3.3333;1.2472;6;2.5000;0.5000;2;;;0;2.4444;1.0657;9;2.7778;1.2273;9
60;3.5000;0.8660;4;3.7500;0.8292;12;4.3333;0.8165;9;2.0000;0.0000;1;3.5333;1.1470;15;3.0000;0.8944;5
61;4.1538;0.7692;13;3.9024;0.7588;41;3.9412;0.8263;51;4.0000;0.0000;1;3.5652;0.8761;23;4.0000;0.8165;9
62;;;0;;;0;;;0;;;0;5.0000;0.0000;1;5.0000;0.0000;1
63;3.0000;0.0000;1;3.0000;1.0000;2;3.0000;0.0000;1;3.0000;0.0000;1;4.0000;0.0000;1;;;0
64;;;0;;;0;;;0;;;0;;;0;;;0
71;2.0000;1.0000;2;1.0000;0.0000;1;3.0000;0.0000;1;;;0;3.0000;0.0000;1;;;0
72;;;0;5.0000;0.0000;2;;;0;;;0;;;0;;;0
73;;;0;3.0000;0.0000;1;3.0000;0.0000;1;2.0000;0.0000;1;;;0;;;0
75;4.1852;0.7716;27;4.5532;0.5383;47;4.0000;0.7201;27;4.0000;0.0000;1;4.5625;0.6092;16;;;0
79;4.0000;0.0000;1;4.6000;0.4899;5;5.0000;0.0000;1;;;0;4.0000;0.0000;1;4.0000;0.0000;2
82;5.0000;0.0000;1;5.0000;0.0000;1;;;0;;;0;;;0;;;0
83;;;0;5.0000;0.0000;1;;;0;;;0;;;0;;;0
85;3.3333;1.2472;3;4.7407;0.5159;27;4.0000;0.6794;13;3.0000;0.0000;1;3.8833;0.7977;60;4.0333;0.8750;30
86;;;0;4.2500;1.2990;4;;;0;;;0;4.4000;1.2000;5;5.0000;0.0000;4
87;;;0;5.0000;0.0000;1;;;0;;;0;;;0;5.0000;0.0000;1
88;;;0;5.0000;0.0000;2;;;0;;;0;;;0;;;0
89;4.0000;0.0000;1;4.1429;0.3499;7;3.0000;1.2649;5;5.0000;0.0000;1;3.1429;1.1249;7;4.0000;1.0000;2
91;;;0;3.5000;1.1180;4;3.0000;1.0000;2;;;0;4.0000;0.0000;1;4.0000;0.0000;1
93;5.0000;0.0000;1;;;0;5.0000;0.0000;1;;;0;5.0000;0.0000;1;;;0
96;5.0000;0.0000;1;4.5714;0.7284;7;4.4000;0.8000;10;3.5714;1.0498;7;4.4444;0.6849;9;4.0000;1.0000;2
99;;;0;;;0;;;0;3.0000;0.0000;1;;;0;;;0
100;3.0000;0.0000;2;3.0000;0.0000;2;3.5000;1.5000;2;;;0;4.2500;1.2990;4;;;0
103;;;0;;;0;;;0;;;0;5.0000;0.0000;3;5.0000;0.0000;1
104;;;0;2.0000;0.0000;1;3.0000;0.0000;1;;;0;3.0000;0.0000;1;;;0
105;;;0;;;0;4.0000;0.0000;1;;;0;;;0;;;0
108;;;0;;;0;5.0000;0.0000;2;;;0;5.0000;0.0000;1;;;0
112;5.0000;0.0000;1;4.1667;1.2134;6;4.6667;0.4714;3;3.0000;0.0000;1;;;0;;;0
122;;;0;5.0000;0.0000;1;;;0;;;0;3.6667;1.2472;3;;;0
123;;;0;3.0000;0.0000;1;;;0;;;0;3.0000;0.0000;1;;;0
125;4.1875;1.0735;16;3.9388;1.1141;49;4.0227;1.0973;44;;;0;3.6250;1.1659;16;4.3333;1.1055;6
126;;;0;5.0000;0.0000;1;;;0;;;0;;;0;;;0
127;4.0000;0.0000;4;4.1429;0.9147;28;4.3000;0.6403;10;;;0;4.0000;0.8165;3;4.5000;0.5000;2
131;;;0;3.0000;0.0000;1;3.5000;0.5000;4;;;0;;;0;;;0
132;;;0;4.0000;0.0000;1;;;0;;;0;;;0;;;0
134;3.0000;0.0000;1;4.0000;0.0000;1;3.0000;0.0000;1;;;0;4.5000;0.5000;2;;;0
138;;;0;4.0000;0.0000;1;;;0;;;0;4.0000;0.0000;1;4.0000;0.0000;1
140;5.0000;0.0000;2;;;0;5.0000;0.0000;2;;;0;;;0;;;0
141;4.0000;0.0000;1;4.2500;0.4330;4;5.0000;0.0000;1;;;0;3.0000;0.0000;1;;;0
143;4.0000;0.0000;1;4.5000;0.5000;6;4.5000;0.5000;2;;;0;4.0000;0.0000;3;4.0000;0.0000;1
144;5.0000;0.0000;1;;;0;5.0000;0.0000;1;;;0;5.0000;0.0000;1;5.0000;0.0000;1
145;;;0;4.5000;0.5000;2;5.0000;0.0000;2;;;0;5.0000;0.0000;2;;;0
147;;;0;;;0;;;0;;;0;2.0000;0.0000;1;;;0
148;;;0;;;0;5.0000;0.0000;1;;;0;;;0;;;0
149;;;0;;;0;;;0;;;0;4.0000;0.0000;1;4.0000;0.0000;1
150;5.0000;0.0000;1;5.0000;0.0000;2;4.0000;1.0000;2;;;0;3.0000;0.0000;1;;;0
152;;;0;;;0;;;0;;;0;4.0000;0.0000;1;;;0
156;5.0000;0.0000;1;5.0000;0.0000;1;5.0000;0.0000;1;;;0;;;0;;;0
157;3.3333;0.9428;6;3.9375;0.8268;16;3.7500;1.0897;20;4.0000;0.0000;1;3.6000;0.6633;10;3.5000;0.5000;2
161;;;0;4.0000;0.0000;1;;;0;;;0;4.5000;0.5000;2;4.0000;0.0000;1
167;4.0000;0.0000;1;5.0000;0.0000;2;4.0000;0.0000;1;4.0000;0.0000;1;5.0000;0.0000;3;4.5000;0.5000;2
168;;;0;;;0;5.0000;0.0000;1;;;0;5.0000;0.0000;1;;;0
171;;;0;;;0;4.0000;0.0000;1;;;0;;;0;4.0000;0.0000;1
179;;;0;4.0000;0.0000;1;;;0;;;0;;;0;;;0
188;;;0;4.6667;0.4714;3;;;0;;;0;3.0000;0.8165;3;2.0000;0.0000;1
190;4.0000;0.0000;2;4.4286;0.4949;7;4.0000;0.0000;2;;;0;4.3333;0.4714;6;4.2000;0.4000;5
191;5.0000;0.0000;1;4.1667;0.6872;6;4.0000;0.8165;3;;;0;4.0000;0.0000;1;4.0000;0.0000;1
193;3.0000;0.8165;3;4.0000;1.4142;13;3.0455;1.3307;22;4.6667;0.4714;6;4.0400;1.0385;25;4.1333;1.0873;15
195;4.0000;0.0000;1;;;0;4.5000;0.5000;2;;;0;;;0;;;0
196;4.5000;0.5000;2;3.0000;0.0000;1;3.3333;0.9428;3;;;0;4.6667;0.4714;3;5.0000;0.0000;2
197;;;0;;;0;5.0000;0.0000;1;;;0;5.0000;0.0000;2;;;0
199;;;0;4.5000;0.5000;2;;;0;;;0;5.0000;0.0000;1;4.5000;0.5000;2
200;2.0000;0.0000;1;2.0000;0.0000;2;4.0000;0.0000;1;;;0;4.0000;1.2247;4;4.6667;0.4714;3
201;4.7500;0.4330;4;4.6667;0.4714;6;5.0000;0.0000;1;;;0;4.0000;0.0000;1;5.0000;0.0000;1
202;3.3158;1.4162;19;3.9286;0.9610;84;2.8605;1.3907;43;3.2500;0.8292;4;3.3297;1.2319;91;3.1944;1.2653;36
207;4.0000;1.2649;5;4.7778;0.4157;9;3.7500;1.2990;4;5.0000;0.0000;1;3.6000;1.2000;5;;;0
209;;;0;;;0;;;0;;;0;5.0000;0.0000;1;;;0
211;5.0000;0.0000;3;5.0000;0.0000;3;5.0000;0.0000;3;;;0;;;0;;;0
213;;;0;;;0;;;0;;;0;5.0000;0.0000;1;5.0000;0.0000;1
214;;;0;;;0;4.0000;0.0000;1;;;0;4.0000;0.0000;1;4.0000;0.0000;2
220;5.0000;0.0000;1;;;0;5.0000;0.0000;1;;;0;;;0;;;0
221;;;0;4.0000;0.0000;1;;;0;;;0;3.6667;0.4714;3;;;0
225;5.0000;0.0000;2;;;0;5.0000;0.0000;2;;;0;;;0;;;0
228;;;0;5.0000;0.0000;1;;;0;;;0;5.0000;0.0000;1;5.0000;0.0000;1
230;;;0;5.0000;0.0000;1;;;0;;;0;;;0;;;0
239;4.5000;0.5000;2;5.0000;0.0000;1;4.0000;0.0000;1;;;0;;;0;;;0
241;3.6000;1.2000;15;3.2857;1.2778;14;3.4000;1.2806;10;;;0;;;0;5.0000;0.0000;1
243;3.0000;0.0000;1;3.5714;1.0498;7;4.2500;0.8292;4;;;0;3.0000;0.0000;4;3.0000;0.0000;2
244;;;0;;;0;3.7500;0.4330;4;;;0;3.6667;0.4714;3;;;0
245;5.0000;0.0000;2;5.0000;0.0000;5;5.0000;0.0000;1;;;0;4.8000;0.4000;5;;;0
248;;;0;;;0;5.0000;0.0000;1;;;0;;;0;;;0
251;;;0;;;0;;;0;;;0;5.0000;0.0000;1;5.0000;0.0000;1
252;;;0;;;0;5.0000;0.0000;1;;;0;5.0000;0.0000;1;;;0
253;4.0000;1.2367;17;4.0000;1.1952;14;4.1538;0.9484;13;4.0000;0.0000;1;5.0000;0.0000;2;4.5000;0.5000;2
254;;;0;;;0;;;0;;;0;5.0000;0.0000;1;;;0
257;;;0;;;0;;;0;;;0;4.3333;0.4714;6;4.5000;0.5000;4
264;5.0000;0.0000;2;4.6667;0.5963;15;4.3333;0.7454;6;;;0;4.0000;0.0000;1;4.5000;0.5000;2
268;;;0;;;0;;;0;;;0;5.0000;0.0000;1;;;0
269;;;0;5.0000;0.0000;1;5.0000;0.0000;1;3.0000;0.0000;1;;;0;;;0
271;4.6667;0.4714;3;4.6667;0.4714;3;4.0000;0.0000;2;;;0;3.5000;0.5000;2;3.5000;0.5000;2
274;;;0;;;0;;;0;;;0;4.0000;0.0000;1;4.0000;0.0000;1
275;;;0;4.4000;0.8000;5;4.3333;0.9428;6;4.0000;0.0000;1;4.5000;0.7638;6;4.0000;1.2247;4
277;;;0;;;0;;;0;;;0;5.0000;0.0000;1;5.0000;0.0000;1
278;;;0;4.0000;0.0000;1;;;0;;;0;4.0000;0.0000;1;;;0
280;;;0;;;0;4.0000;0.0000;1;;;0;;;0;;;0
282;3.2500;0.4330;4;4.0800;0.9130;50;2.6389;0.9473;36;3.7500;0.4330;4;3.9762;0.8861;42;3.7692;0.8904;26
285;;;0;;;0;2.5000;0.5000;2;;;0;4.5000;0.5000;2;4.0000;1.0000;2
286;5.0000;0.0000;1;5.0000;0.0000;1;;;0;;;0;;;0;;;0
287;;;0;4.0000;0.0000;1;;;0;;;0;4.0000;0.0000;1;;;0
288;;;0;3.0000;0.0000;1;;;0;;;0;;;0;;;0
289;;;0;;;0;;;0;;;0;5.0000;0.0000;2;5.0000;0.0000;1
290;;;0;5.0000;0.0000;2;5.0000;0.0000;9;;;0;5.0000;0.0000;15;5.0000;0.0000;3
293;;;0;5.0000;0.0000;1;;;0;;;0;5.0000;0.0000;2;5.0000;0.0000;1
294;;;0;5.0000;0.0000;1;;;0;;;0;5.0000;0.0000;1;5.0000;0.0000;1
301;5.0000;0.0000;1;5.0000;0.0000;1;5.0000;0.0000;1;;;0;2.0000;0.0000;2;;;0
307;3.5000;0.5000;4;4.0000;1.1094;13;4.0000;0.8771;13;;;0;4.4545;0.8381;22;4.6667;0.6667;9
314;;;0;;;0;5.0000;0.0000;1;;;0;;;0;;;0
315;5.0000;0.0000;1;4.3333;0.4714;3;5.0000;0.0000;2;;;0;4.3333;0.4714;3;;;0
316;;;0;5.0000;0.0000;2;;;0;;;0;5.0000;0.0000;1;;;0
317;;;0;;;0;;;0;5.0000;0.0000;1;;;0;;;0
318;;;0;4.2500;0.8292;4;4.5000;0.5000;2;4.0000;0.0000;1;4.0000;0.6325;5;;;0
319;5.0000;0.0000;1;5.0000;0.0000;2;4.0000;1.2247;4;;;0;4.1111;1.0999;9;;;0
321;3.6667;1.1055;6;3.9500;0.9734;20;3.8750;0.9922;16;5.0000;0.0000;1;4.2222;0.7857;36;3.6923;0.8213;13
328;3.7500;0.8292;4;4.0000;0.9759;21;3.6667;0.8357;21;3.7500;0.4330;8;3.5278;0.7988;36;3.5000;0.7638;12
329;;;0;4.0000;0.0000;1;;;0;;;0;;;0;;;0
332;;;0;4.0000;0.0000;1;;;0;;;0;;;0;;;0
334;3.4000;1.6248;5;4.2857;1.0302;7;2.4286;1.6782;7;;;0;3.7647;1.3945;17;3.7500;1.3919;8
335;;;0;;;0;;;0;;;0;3.0000;0.0000;1;;;0
340;5.0000;0.0000;1;5.0000;0.0000;1;;;0;;;0;;;0;;;0
347;5.0000;0.0000;1;5.0000;0.0000;2;5.0000;0.0000;1;;;0;5.0000;0.0000;1;5.0000;0.0000;1
349;;;0;;;0;4.0000;0.0000;1;;;0;;;0;;;0
352;5.0000;0.0000;1;5.0000;0.0000;1;5.0000;0.0000;1;;;0;5.0000;0.0000;1;;;0
355;1.0000;0.0000;1;;;0;1.0000;0.0000;1;;;0;;;0;;;0
356;;;0;;;0;5.0000;0.0000;1;;;0;5.0000;0.0000;1;5.0000;0.0000;1
357;;;0;;;0;;;0;;;0;5.0000;0.0000;1;5.0000;0.0000;1
359;;;0;3.5000;0.5000;4;;;0;;;0;;;0;;;0
361;;;0;5.0000;0.0000;6;4.6667;0.4714;3;;;0;;;0;;;0
370;;;0;;;0;;;0;;;0;4.5000;0.5000;2;4.0000;0.0000;1
371;;;0;3.0000;1.0000;2;5.0000;0.0000;1;;;0;4.8000;0.4000;5;5.0000;0.0000;2
373;;;0;5.0000;0.0000;1;4.0000;0.0000;1;5.0000;0.0000;1;;;0;;;0
374;;;0;4.5000;0.5000;2;;;0;;;0;;;0;;;0
377;3.0000;0.0000;1;4.0625;0.7474;16;3.7500;0.8292;4;;;0;4.0333;0.8750;30;4.0000;0.9535;11
378;;;0;4.0000;0.0000;2;;;0;5.0000;0.0000;1;5.0000;0.0000;2;;;0
379;;;0;5.0000;0.0000;4;4.0000;0.0000;1;;;0;5.0000;0.0000;4;;;0
380;;;0;;;0;;;0;;;0;4.8000;0.4000;5;4.7500;0.4330;4
383;;;0;1.0000;0.0000;1;;;0;;;0;;;0;;;0
389;;;0;5.0000;0.0000;1;;;0;;;0;;;0;;;0
401;;;0;;;0;;;0;;;0;2.0000;1.0000;2;;;0
402;5.0000;0.0000;3;5.0000;0.0000;1;5.0000;0.0000;2;;;0;;;0;;;0
403;;;0;;;0;5.0000;0.0000;2;;;0;;;0;;;0
404;;;0;;;0;;;0;;;0;;;0;;;0
405;5.0000;0.0000;1;;;0;5.0000;0.0000;1;;;0;;;0;;;0
407;;;0;;;0;5.0000;0.0000;1;;;0;;;0;;;0
417;5.0000;0.0000;1;5.0000;0.0000;1;3.5000;1.5000;2;;;0;2.0000;0.0000;1;;;0
420;;;0;5.0000;0.0000;2;4.0000;0.0000;1;;;0;4.3333;0.4714;3;4.2500;0.4330;4
421;5.0000;0.0000;1;5.0000;0.0000;2;;;0;;;0;5.0000;0.0000;1;;;0
